position_x,position_y,position_z
-199.464691162109,246.085830688477,814.081420898438
181.398361206055,236.013717651367,795.373291015625
122.949844360352,241.459930419922,756.898315429688
-18.3173942565918,233.272277832031,800.373291015625
-211.660903930664,232.434356689453,801.60205078125
-127.651573181152,234.110961914062,842.671875
128.76171875,227.539611816406,755.244384765625
97.3800964355469,217.184722900391,789.968322753906
208.331726074219,215.387603759766,804.385498046875
-51.6085510253906,216.155578613281,832.765930175781
-123.339073181152,200.286911010742,813.060913085938
84.6485748291016,190.605499267578,768.339111328125
225.507965087891,178.889373779297,796.271789550781
-109.054779052734,168.140960693359,805.1171875
140.279434204102,163.740783691406,701.037292480469
-243.223175048828,155.302200317383,787.199890136719
-5.8518590927124,149.361511230469,806.314086914062
137.474563598633,151.744720458984,699.370483398438
-49.8706741333008,140.081939697266,797.498779296875
128.383178710938,140.061676025391,696.340454101562
-10.2659606933594,138.577453613281,800.318420410156
109.62084197998,130.411865234375,698.04052734375
-25.3502445220947,114.976257324219,774.935791015625
-239.072357177734,115.666076660156,807.281860351562
-89.5350189208984,105.366561889648,797.423889160156
-77.9514312744141,107.480621337891,803.457153320312
144.837005615234,101.855354309082,690.167846679688
-189.062622070312,101.34700012207,729.177978515625
139.802093505859,99.7416687011719,688.420654296875
-21.2663078308105,81.3178405761719,756.875305175781
221.545166015625,58.5442352294922,735.556640625
201.700485229492,35.0433769226074,779.665283203125
-35.1134338378906,31.35205078125,795.826110839844
-41.5942764282227,25.1609382629395,791.669799804688
133.231307983398,-1.35250914096832,646.906005859375
189.731170654297,-10.3023433685303,795.615600585938
101.197402954102,-52.5059432983398,618.792358398438
-242.760543823242,-55.3598175048828,818.91845703125
91.4240112304688,-53.2729568481445,611.449340820312
-238.043273925781,-66.6326599121094,822.823974609375
-230.009826660156,-65.5676193237305,819.439208984375
93.8765029907227,-78.1798248291016,606.240661621094
43.3708648681641,-107.801086425781,580.758911132812
59.0198822021484,-106.05525970459,583.406127929688
246.064712524414,-126.344375610352,704.43310546875
62.1506118774414,-132.983612060547,577.023742675781
37.5893058776855,-148.984024047852,573.846923828125
36.423713684082,-156.590911865234,573.925598144531
82.3817672729492,-150.460784912109,582.729675292969
50.4866981506348,-140.689392089844,571.094848632812
-239.185424804688,-160.954330444336,844.405029296875
39.0123825073242,-160.616668701172,572.861694335938
24.9936847686768,-166.495574951172,577.471374511719
205.732360839844,-163.881546020508,614.329223632812
-4.37221908569336,-179.470062255859,587.097717285156
-235.950042724609,-181.13655090332,836.754455566406
1.45381581783295,-180.957305908203,585.455505371094
91.988166809082,-186.763885498047,573.107666015625
197.867095947266,-176.254730224609,607.050537109375
124.495552062988,-185.286712646484,583.874694824219
10.863676071167,-188.567398071289,586.101135253906
-224.908737182617,-188.947738647461,830.990783691406
-249.341125488281,-199.555068969727,827.01123046875
91.074821472168,-191.296188354492,571.751525878906
-1.5610009431839,-205.052627563477,590.158325195312
40.5216598510742,-196.601135253906,575.204467773438
197.310699462891,-208.406448364258,585.157531738281
139.389602661133,-225.97038269043,571.883544921875
-21.5126647949219,-223.713714599609,593.5810546875
-77.9290771484375,-221.837387084961,613.305297851562
-36.8323669433594,-228.622970581055,595.876586914062
19.2183628082275,-229.327209472656,573.624572753906
-86.6798553466797,-236.13493347168,613.181640625
41.7274703979492,-237.743545532227,567.6513671875
